127.0.0.1 - - [24/Jul/2018:08:56:07 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [24/Jul/2018:08:56:09 +0800] "GET /10_ValidationByAnnotation/index.jsp HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [24/Jul/2018:08:56:32 +0800] "GET /10_ValidationByAnnotation/struts/xhtml/styles.css HTTP/1.1" 200 1633
0:0:0:0:0:0:0:1 - - [24/Jul/2018:08:56:32 +0800] "GET /10_ValidationByAnnotation/struts/utils.js HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [24/Jul/2018:08:56:32 +0800] "GET /10_ValidationByAnnotation/struts/xhtml/validation.js HTTP/1.1" 200 4590
0:0:0:0:0:0:0:1 - - [24/Jul/2018:08:56:32 +0800] "GET /10_ValidationByAnnotation/register!input HTTP/1.1" 200 525680
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:05:58 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 8655
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:07:32 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525750
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:07:38 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525748
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:08:52 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525879
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:02 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526282
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:18 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526288
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:29 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526286
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:36 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526292
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:39 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526297
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:09:59 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526284
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:10:03 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526282
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:12:01 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525641
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:12:04 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525651
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:12:05 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525640
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:12:07 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525650
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:16:12 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525660
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:16:14 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525655
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:20:32 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526020
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:20:35 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526020
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:20:47 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526038
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:20:49 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526043
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:21:25 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526038
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:23:26 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525712
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:24:40 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526115
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:25:12 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526836
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:25:20 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526113
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:27:15 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525834
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:27:24 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526130
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:29:11 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526135
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:32:12 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 525819
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:32:17 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526090
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:37:07 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526079
0:0:0:0:0:0:0:1 - - [24/Jul/2018:09:37:12 +0800] "POST /10_ValidationByAnnotation/register.action HTTP/1.1" 200 526112
